chunk
"재고 ID INV014001에 해당하는 품목은 '패딩 점퍼 736'입니다. 카테고리는 의류이며, 현재 인천 항만 보세창고에 보관되어 있습니다. 보유 수량은 210개이며, 단가는 1,051원입니다. 공급처는 코오롱 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV011987에 해당하는 품목은 '면티셔츠 151'입니다. 카테고리는 의류이며, 현재 대전 중부 물류허브에 보관되어 있습니다. 보유 수량은 463개이며, 단가는 100,712원입니다. 공급처는 한섬 B2B이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV012234에 해당하는 품목은 '러닝화 028'입니다. 카테고리는 의류이며, 현재 광주 호남 물류센터에 보관되어 있습니다. 보유 수량은 359개이며, 단가는 100,800원입니다. 공급처는 한세실업 도매이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV010213에 해당하는 품목은 '패딩 점퍼 416'입니다. 카테고리는 의류이며, 현재 인천 항만 보세창고에 보관되어 있습니다. 보유 수량은 358개이며, 단가는 100,865원입니다. 공급처는 신세계인터내셔날이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV011444에 해당하는 품목은 '니트 가디건 522'입니다. 카테고리는 의류이며, 현재 광주 호남 물류센터에 보관되어 있습니다. 보유 수량은 163개이며, 단가는 100,908원입니다. 공급처는 한세실업 도매이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV012835에 해당하는 품목은 '면티셔츠 730'입니다. 카테고리는 의류이며, 현재 인천 항만 보세창고에 보관되어 있습니다. 보유 수량은 191개이며, 단가는 101,038원입니다. 공급처는 코오롱 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV011045에 해당하는 품목은 '패딩 점퍼 899'입니다. 카테고리는 의류이며, 현재 대전 중부 물류허브에 보관되어 있습니다. 보유 수량은 3개이며, 단가는 101,146원입니다. 공급처는 LF 패션유통이며, 현재 재고 상태는 '부족'로 파악됩니다."
"재고 ID INV014549에 해당하는 품목은 '청바지 457'입니다. 카테고리는 의류이며, 현재 인천 항만 보세창고에 보관되어 있습니다. 보유 수량은 360개이며, 단가는 101,177원입니다. 공급처는 LF 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV014734에 해당하는 품목은 '청바지 021'입니다. 카테고리는 의류이며, 현재 광주 호남 물류센터에 보관되어 있습니다. 보유 수량은 302개이며, 단가는 101,363원입니다. 공급처는 한세실업 도매이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV012037에 해당하는 품목은 '러닝화 947'입니다. 카테고리는 의류이며, 현재 경기 이천 통합물류센터에 보관되어 있습니다. 보유 수량은 142개이며, 단가는 101,415원입니다. 공급처는 한세실업 도매이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV014627에 해당하는 품목은 '면티셔츠 806'입니다. 카테고리는 의류이며, 현재 인천 항만 보세창고에 보관되어 있습니다. 보유 수량은 183개이며, 단가는 101,641원입니다. 공급처는 LF 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV011460에 해당하는 품목은 '니트 가디건 183'입니다. 카테고리는 의류이며, 현재 부산 신항 물류센터에 보관되어 있습니다. 보유 수량은 82개이며, 단가는 101,642원입니다. 공급처는 LF 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV010518에 해당하는 품목은 '니트 가디건 117'입니다. 카테고리는 의류이며, 현재 부산 신항 물류센터에 보관되어 있습니다. 보유 수량은 0개이며, 단가는 101,655원입니다. 공급처는 한세실업 도매이며, 현재 재고 상태는 '품절'로 파악됩니다."
"재고 ID INV010287에 해당하는 품목은 '니트 가디건 015'입니다. 카테고리는 의류이며, 현재 인천 항만 보세창고에 보관되어 있습니다. 보유 수량은 473개이며, 단가는 101,669원입니다. 공급처는 LF 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV010837에 해당하는 품목은 '면티셔츠 066'입니다. 카테고리는 의류이며, 현재 인천 항만 보세창고에 보관되어 있습니다. 보유 수량은 447개이며, 단가는 101,670원입니다. 공급처는 신세계인터내셔날이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV012167에 해당하는 품목은 '러닝화 842'입니다. 카테고리는 의류이며, 현재 인천 항만 보세창고에 보관되어 있습니다. 보유 수량은 311개이며, 단가는 101,739원입니다. 공급처는 한세실업 도매이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV013510에 해당하는 품목은 '니트 가디건 136'입니다. 카테고리는 의류이며, 현재 부산 신항 물류센터에 보관되어 있습니다. 보유 수량은 459개이며, 단가는 101,828원입니다. 공급처는 신세계인터내셔날이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV010175에 해당하는 품목은 '러닝화 165'입니다. 카테고리는 의류이며, 현재 부산 신항 물류센터에 보관되어 있습니다. 보유 수량은 49개이며, 단가는 101,968원입니다. 공급처는 LF 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV014900에 해당하는 품목은 '패딩 점퍼 277'입니다. 카테고리는 의류이며, 현재 부산 신항 물류센터에 보관되어 있습니다. 보유 수량은 46개이며, 단가는 102,095원입니다. 공급처는 신세계인터내셔날이며, 현재 재고 상태는 '부족'로 파악됩니다."
"재고 ID INV010007에 해당하는 품목은 '패딩 점퍼 113'입니다. 카테고리는 의류이며, 현재 광주 호남 물류센터에 보관되어 있습니다. 보유 수량은 287개이며, 단가는 102,109원입니다. 공급처는 신세계인터내셔날이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV011933에 해당하는 품목은 '니트 가디건 863'입니다. 카테고리는 의류이며, 현재 대전 중부 물류허브에 보관되어 있습니다. 보유 수량은 3개이며, 단가는 102,359원입니다. 공급처는 LF 패션유통이며, 현재 재고 상태는 '부족'로 파악됩니다."
"재고 ID INV013679에 해당하는 품목은 '러닝화 326'입니다. 카테고리는 의류이며, 현재 광주 호남 물류센터에 보관되어 있습니다. 보유 수량은 225개이며, 단가는 102,458원입니다. 공급처는 한섬 B2B이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV014480에 해당하는 품목은 '청바지 037'입니다. 카테고리는 의류이며, 현재 부산 신항 물류센터에 보관되어 있습니다. 보유 수량은 291개이며, 단가는 102,738원입니다. 공급처는 한세실업 도매이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV013129에 해당하는 품목은 '러닝화 640'입니다. 카테고리는 의류이며, 현재 부산 신항 물류센터에 보관되어 있습니다. 보유 수량은 389개이며, 단가는 102,799원입니다. 공급처는 신세계인터내셔날이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV012533에 해당하는 품목은 '니트 가디건 629'입니다. 카테고리는 의류이며, 현재 광주 호남 물류센터에 보관되어 있습니다. 보유 수량은 22개이며, 단가는 102,801원입니다. 공급처는 한세실업 도매이며, 현재 재고 상태는 '부족'로 파악됩니다."
"재고 ID INV011184에 해당하는 품목은 '청바지 823'입니다. 카테고리는 의류이며, 현재 부산 신항 물류센터에 보관되어 있습니다. 보유 수량은 33개이며, 단가는 103,001원입니다. 공급처는 신세계인터내셔날이며, 현재 재고 상태는 '부족'로 파악됩니다."
"재고 ID INV011936에 해당하는 품목은 '패딩 점퍼 094'입니다. 카테고리는 의류이며, 현재 부산 신항 물류센터에 보관되어 있습니다. 보유 수량은 129개이며, 단가는 103,034원입니다. 공급처는 코오롱 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV010812에 해당하는 품목은 '니트 가디건 769'입니다. 카테고리는 의류이며, 현재 인천 항만 보세창고에 보관되어 있습니다. 보유 수량은 73개이며, 단가는 103,213원입니다. 공급처는 신세계인터내셔날이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV013821에 해당하는 품목은 '면티셔츠 491'입니다. 카테고리는 의류이며, 현재 인천 항만 보세창고에 보관되어 있습니다. 보유 수량은 317개이며, 단가는 103,240원입니다. 공급처는 LF 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV011269에 해당하는 품목은 '니트 가디건 108'입니다. 카테고리는 의류이며, 현재 인천 항만 보세창고에 보관되어 있습니다. 보유 수량은 270개이며, 단가는 103,321원입니다. 공급처는 한세실업 도매이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV012758에 해당하는 품목은 '니트 가디건 575'입니다. 카테고리는 의류이며, 현재 광주 호남 물류센터에 보관되어 있습니다. 보유 수량은 119개이며, 단가는 103,409원입니다. 공급처는 코오롱 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV012799에 해당하는 품목은 '니트 가디건 634'입니다. 카테고리는 의류이며, 현재 광주 호남 물류센터에 보관되어 있습니다. 보유 수량은 446개이며, 단가는 103,485원입니다. 공급처는 한세실업 도매이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV014700에 해당하는 품목은 '청바지 102'입니다. 카테고리는 의류이며, 현재 경기 이천 통합물류센터에 보관되어 있습니다. 보유 수량은 486개이며, 단가는 103,498원입니다. 공급처는 신세계인터내셔날이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV012765에 해당하는 품목은 '청바지 036'입니다. 카테고리는 의류이며, 현재 경기 이천 통합물류센터에 보관되어 있습니다. 보유 수량은 310개이며, 단가는 103,606원입니다. 공급처는 신세계인터내셔날이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV012020에 해당하는 품목은 '러닝화 444'입니다. 카테고리는 의류이며, 현재 인천 항만 보세창고에 보관되어 있습니다. 보유 수량은 0개이며, 단가는 103,609원입니다. 공급처는 LF 패션유통이며, 현재 재고 상태는 '품절'로 파악됩니다."
"재고 ID INV012235에 해당하는 품목은 '청바지 578'입니다. 카테고리는 의류이며, 현재 인천 항만 보세창고에 보관되어 있습니다. 보유 수량은 425개이며, 단가는 103,646원입니다. 공급처는 한세실업 도매이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV011060에 해당하는 품목은 '면티셔츠 878'입니다. 카테고리는 의류이며, 현재 부산 신항 물류센터에 보관되어 있습니다. 보유 수량은 91개이며, 단가는 103,730원입니다. 공급처는 신세계인터내셔날이며, 현재 재고 상태는 '부족'로 파악됩니다."
"재고 ID INV013312에 해당하는 품목은 '청바지 196'입니다. 카테고리는 의류이며, 현재 경기 이천 통합물류센터에 보관되어 있습니다. 보유 수량은 292개이며, 단가는 103,803원입니다. 공급처는 신세계인터내셔날이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV012179에 해당하는 품목은 '러닝화 569'입니다. 카테고리는 의류이며, 현재 인천 항만 보세창고에 보관되어 있습니다. 보유 수량은 354개이며, 단가는 103,890원입니다. 공급처는 한섬 B2B이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV012987에 해당하는 품목은 '면티셔츠 779'입니다. 카테고리는 의류이며, 현재 부산 신항 물류센터에 보관되어 있습니다. 보유 수량은 218개이며, 단가는 103,974원입니다. 공급처는 한섬 B2B이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV012046에 해당하는 품목은 '패딩 점퍼 802'입니다. 카테고리는 의류이며, 현재 부산 신항 물류센터에 보관되어 있습니다. 보유 수량은 403개이며, 단가는 103,997원입니다. 공급처는 신세계인터내셔날이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV013966에 해당하는 품목은 '패딩 점퍼 164'입니다. 카테고리는 의류이며, 현재 부산 신항 물류센터에 보관되어 있습니다. 보유 수량은 290개이며, 단가는 104,152원입니다. 공급처는 코오롱 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV011800에 해당하는 품목은 '니트 가디건 500'입니다. 카테고리는 의류이며, 현재 대전 중부 물류허브에 보관되어 있습니다. 보유 수량은 455개이며, 단가는 104,250원입니다. 공급처는 LF 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV012018에 해당하는 품목은 '러닝화 728'입니다. 카테고리는 의류이며, 현재 경기 이천 통합물류센터에 보관되어 있습니다. 보유 수량은 65개이며, 단가는 104,335원입니다. 공급처는 코오롱 패션유통이며, 현재 재고 상태는 '부족'로 파악됩니다."
"재고 ID INV010033에 해당하는 품목은 '러닝화 570'입니다. 카테고리는 의류이며, 현재 인천 항만 보세창고에 보관되어 있습니다. 보유 수량은 171개이며, 단가는 104,374원입니다. 공급처는 LF 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV014024에 해당하는 품목은 '러닝화 035'입니다. 카테고리는 의류이며, 현재 경기 이천 통합물류센터에 보관되어 있습니다. 보유 수량은 500개이며, 단가는 104,387원입니다. 공급처는 신세계인터내셔날이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV012980에 해당하는 품목은 '니트 가디건 568'입니다. 카테고리는 의류이며, 현재 부산 신항 물류센터에 보관되어 있습니다. 보유 수량은 221개이며, 단가는 104,518원입니다. 공급처는 신세계인터내셔날이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV010112에 해당하는 품목은 '니트 가디건 679'입니다. 카테고리는 의류이며, 현재 경기 이천 통합물류센터에 보관되어 있습니다. 보유 수량은 394개이며, 단가는 104,684원입니다. 공급처는 코오롱 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV012971에 해당하는 품목은 '청바지 269'입니다. 카테고리는 의류이며, 현재 경기 이천 통합물류센터에 보관되어 있습니다. 보유 수량은 137개이며, 단가는 104,709원입니다. 공급처는 코오롱 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV012286에 해당하는 품목은 '러닝화 701'입니다. 카테고리는 의류이며, 현재 광주 호남 물류센터에 보관되어 있습니다. 보유 수량은 451개이며, 단가는 104,733원입니다. 공급처는 신세계인터내셔날이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV012535에 해당하는 품목은 '패딩 점퍼 381'입니다. 카테고리는 의류이며, 현재 광주 호남 물류센터에 보관되어 있습니다. 보유 수량은 464개이며, 단가는 104,822원입니다. 공급처는 코오롱 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV014277에 해당하는 품목은 '패딩 점퍼 834'입니다. 카테고리는 의류이며, 현재 경기 이천 통합물류센터에 보관되어 있습니다. 보유 수량은 116개이며, 단가는 104,848원입니다. 공급처는 한섬 B2B이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV011265에 해당하는 품목은 '러닝화 792'입니다. 카테고리는 의류이며, 현재 인천 항만 보세창고에 보관되어 있습니다. 보유 수량은 130개이며, 단가는 104,921원입니다. 공급처는 LF 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV011290에 해당하는 품목은 '패딩 점퍼 951'입니다. 카테고리는 의류이며, 현재 부산 신항 물류센터에 보관되어 있습니다. 보유 수량은 396개이며, 단가는 104,939원입니다. 공급처는 한섬 B2B이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV011704에 해당하는 품목은 '니트 가디건 757'입니다. 카테고리는 의류이며, 현재 광주 호남 물류센터에 보관되어 있습니다. 보유 수량은 324개이며, 단가는 105,071원입니다. 공급처는 코오롱 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV014918에 해당하는 품목은 '패딩 점퍼 767'입니다. 카테고리는 의류이며, 현재 광주 호남 물류센터에 보관되어 있습니다. 보유 수량은 228개이며, 단가는 105,123원입니다. 공급처는 한세실업 도매이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV014128에 해당하는 품목은 '청바지 369'입니다. 카테고리는 의류이며, 현재 경기 이천 통합물류센터에 보관되어 있습니다. 보유 수량은 112개이며, 단가는 105,208원입니다. 공급처는 신세계인터내셔날이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV012000에 해당하는 품목은 '패딩 점퍼 324'입니다. 카테고리는 의류이며, 현재 광주 호남 물류센터에 보관되어 있습니다. 보유 수량은 272개이며, 단가는 105,360원입니다. 공급처는 신세계인터내셔날이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV010321에 해당하는 품목은 '면티셔츠 945'입니다. 카테고리는 의류이며, 현재 부산 신항 물류센터에 보관되어 있습니다. 보유 수량은 346개이며, 단가는 105,386원입니다. 공급처는 신세계인터내셔날이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV014471에 해당하는 품목은 '러닝화 077'입니다. 카테고리는 의류이며, 현재 부산 신항 물류센터에 보관되어 있습니다. 보유 수량은 155개이며, 단가는 105,396원입니다. 공급처는 한섬 B2B이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV010483에 해당하는 품목은 '러닝화 039'입니다. 카테고리는 의류이며, 현재 인천 항만 보세창고에 보관되어 있습니다. 보유 수량은 475개이며, 단가는 105,446원입니다. 공급처는 코오롱 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV011523에 해당하는 품목은 '면티셔츠 423'입니다. 카테고리는 의류이며, 현재 인천 항만 보세창고에 보관되어 있습니다. 보유 수량은 100개이며, 단가는 105,494원입니다. 공급처는 한세실업 도매이며, 현재 재고 상태는 '부족'로 파악됩니다."
"재고 ID INV010817에 해당하는 품목은 '면티셔츠 849'입니다. 카테고리는 의류이며, 현재 경기 이천 통합물류센터에 보관되어 있습니다. 보유 수량은 106개이며, 단가는 105,728원입니다. 공급처는 LF 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV013635에 해당하는 품목은 '청바지 673'입니다. 카테고리는 의류이며, 현재 광주 호남 물류센터에 보관되어 있습니다. 보유 수량은 382개이며, 단가는 105,827원입니다. 공급처는 한세실업 도매이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV011639에 해당하는 품목은 '러닝화 805'입니다. 카테고리는 의류이며, 현재 대전 중부 물류허브에 보관되어 있습니다. 보유 수량은 230개이며, 단가는 106,057원입니다. 공급처는 한섬 B2B이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV010741에 해당하는 품목은 '면티셔츠 681'입니다. 카테고리는 의류이며, 현재 인천 항만 보세창고에 보관되어 있습니다. 보유 수량은 249개이며, 단가는 106,109원입니다. 공급처는 코오롱 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV012087에 해당하는 품목은 '패딩 점퍼 490'입니다. 카테고리는 의류이며, 현재 인천 항만 보세창고에 보관되어 있습니다. 보유 수량은 198개이며, 단가는 106,176원입니다. 공급처는 한세실업 도매이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV012929에 해당하는 품목은 '니트 가디건 179'입니다. 카테고리는 의류이며, 현재 경기 이천 통합물류센터에 보관되어 있습니다. 보유 수량은 159개이며, 단가는 106,239원입니다. 공급처는 LF 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV010467에 해당하는 품목은 '청바지 916'입니다. 카테고리는 의류이며, 현재 부산 신항 물류센터에 보관되어 있습니다. 보유 수량은 241개이며, 단가는 106,324원입니다. 공급처는 한섬 B2B이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV010786에 해당하는 품목은 '면티셔츠 550'입니다. 카테고리는 의류이며, 현재 광주 호남 물류센터에 보관되어 있습니다. 보유 수량은 326개이며, 단가는 106,346원입니다. 공급처는 코오롱 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV010473에 해당하는 품목은 '면티셔츠 878'입니다. 카테고리는 의류이며, 현재 대전 중부 물류허브에 보관되어 있습니다. 보유 수량은 327개이며, 단가는 106,379원입니다. 공급처는 신세계인터내셔날이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV014641에 해당하는 품목은 '패딩 점퍼 378'입니다. 카테고리는 의류이며, 현재 부산 신항 물류센터에 보관되어 있습니다. 보유 수량은 115개이며, 단가는 106,389원입니다. 공급처는 한세실업 도매이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV014002에 해당하는 품목은 '패딩 점퍼 371'입니다. 카테고리는 의류이며, 현재 대전 중부 물류허브에 보관되어 있습니다. 보유 수량은 26개이며, 단가는 106,449원입니다. 공급처는 신세계인터내셔날이며, 현재 재고 상태는 '부족'로 파악됩니다."
"재고 ID INV013094에 해당하는 품목은 '패딩 점퍼 316'입니다. 카테고리는 의류이며, 현재 대전 중부 물류허브에 보관되어 있습니다. 보유 수량은 269개이며, 단가는 106,450원입니다. 공급처는 신세계인터내셔날이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV012806에 해당하는 품목은 '패딩 점퍼 763'입니다. 카테고리는 의류이며, 현재 대전 중부 물류허브에 보관되어 있습니다. 보유 수량은 30개이며, 단가는 106,523원입니다. 공급처는 코오롱 패션유통이며, 현재 재고 상태는 '부족'로 파악됩니다."
"재고 ID INV013762에 해당하는 품목은 '패딩 점퍼 421'입니다. 카테고리는 의류이며, 현재 경기 이천 통합물류센터에 보관되어 있습니다. 보유 수량은 115개이며, 단가는 106,604원입니다. 공급처는 신세계인터내셔날이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV012023에 해당하는 품목은 '면티셔츠 100'입니다. 카테고리는 의류이며, 현재 경기 이천 통합물류센터에 보관되어 있습니다. 보유 수량은 361개이며, 단가는 106,659원입니다. 공급처는 한세실업 도매이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV013708에 해당하는 품목은 '패딩 점퍼 917'입니다. 카테고리는 의류이며, 현재 광주 호남 물류센터에 보관되어 있습니다. 보유 수량은 94개이며, 단가는 106,677원입니다. 공급처는 LF 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV010409에 해당하는 품목은 '면티셔츠 830'입니다. 카테고리는 의류이며, 현재 경기 이천 통합물류센터에 보관되어 있습니다. 보유 수량은 417개이며, 단가는 106,741원입니다. 공급처는 한세실업 도매이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV013501에 해당하는 품목은 '패딩 점퍼 212'입니다. 카테고리는 의류이며, 현재 경기 이천 통합물류센터에 보관되어 있습니다. 보유 수량은 346개이며, 단가는 106,767원입니다. 공급처는 한세실업 도매이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV011877에 해당하는 품목은 '러닝화 064'입니다. 카테고리는 의류이며, 현재 인천 항만 보세창고에 보관되어 있습니다. 보유 수량은 72개이며, 단가는 106,775원입니다. 공급처는 코오롱 패션유통이며, 현재 재고 상태는 '부족'로 파악됩니다."
"재고 ID INV010141에 해당하는 품목은 '면티셔츠 164'입니다. 카테고리는 의류이며, 현재 부산 신항 물류센터에 보관되어 있습니다. 보유 수량은 301개이며, 단가는 106,823원입니다. 공급처는 한섬 B2B이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV013611에 해당하는 품목은 '면티셔츠 679'입니다. 카테고리는 의류이며, 현재 경기 이천 통합물류센터에 보관되어 있습니다. 보유 수량은 122개이며, 단가는 106,915원입니다. 공급처는 한섬 B2B이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV012133에 해당하는 품목은 '면티셔츠 807'입니다. 카테고리는 의류이며, 현재 대전 중부 물류허브에 보관되어 있습니다. 보유 수량은 450개이며, 단가는 106,958원입니다. 공급처는 한세실업 도매이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV013434에 해당하는 품목은 '니트 가디건 026'입니다. 카테고리는 의류이며, 현재 인천 항만 보세창고에 보관되어 있습니다. 보유 수량은 197개이며, 단가는 107,294원입니다. 공급처는 한섬 B2B이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV010670에 해당하는 품목은 '니트 가디건 161'입니다. 카테고리는 의류이며, 현재 인천 항만 보세창고에 보관되어 있습니다. 보유 수량은 57개이며, 단가는 107,522원입니다. 공급처는 신세계인터내셔날이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV012129에 해당하는 품목은 '청바지 466'입니다. 카테고리는 의류이며, 현재 경기 이천 통합물류센터에 보관되어 있습니다. 보유 수량은 333개이며, 단가는 107,861원입니다. 공급처는 코오롱 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV010298에 해당하는 품목은 '러닝화 826'입니다. 카테고리는 의류이며, 현재 경기 이천 통합물류센터에 보관되어 있습니다. 보유 수량은 239개이며, 단가는 107,873원입니다. 공급처는 코오롱 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV013216에 해당하는 품목은 '니트 가디건 475'입니다. 카테고리는 의류이며, 현재 광주 호남 물류센터에 보관되어 있습니다. 보유 수량은 427개이며, 단가는 107,988원입니다. 공급처는 코오롱 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV013874에 해당하는 품목은 '청바지 429'입니다. 카테고리는 의류이며, 현재 대전 중부 물류허브에 보관되어 있습니다. 보유 수량은 33개이며, 단가는 108,043원입니다. 공급처는 한세실업 도매이며, 현재 재고 상태는 '부족'로 파악됩니다."
"재고 ID INV013294에 해당하는 품목은 '면티셔츠 626'입니다. 카테고리는 의류이며, 현재 인천 항만 보세창고에 보관되어 있습니다. 보유 수량은 317개이며, 단가는 108,154원입니다. 공급처는 한세실업 도매이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV014409에 해당하는 품목은 '청바지 058'입니다. 카테고리는 의류이며, 현재 경기 이천 통합물류센터에 보관되어 있습니다. 보유 수량은 134개이며, 단가는 108,178원입니다. 공급처는 한세실업 도매이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV011967에 해당하는 품목은 '면티셔츠 080'입니다. 카테고리는 의류이며, 현재 인천 항만 보세창고에 보관되어 있습니다. 보유 수량은 69개이며, 단가는 108,221원입니다. 공급처는 LF 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV011728에 해당하는 품목은 '패딩 점퍼 223'입니다. 카테고리는 의류이며, 현재 인천 항만 보세창고에 보관되어 있습니다. 보유 수량은 69개이며, 단가는 108,535원입니다. 공급처는 코오롱 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV014816에 해당하는 품목은 '청바지 758'입니다. 카테고리는 의류이며, 현재 경기 이천 통합물류센터에 보관되어 있습니다. 보유 수량은 256개이며, 단가는 108,711원입니다. 공급처는 한세실업 도매이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV010647에 해당하는 품목은 '패딩 점퍼 190'입니다. 카테고리는 의류이며, 현재 경기 이천 통합물류센터에 보관되어 있습니다. 보유 수량은 67개이며, 단가는 108,970원입니다. 공급처는 LF 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV012225에 해당하는 품목은 '니트 가디건 502'입니다. 카테고리는 의류이며, 현재 광주 호남 물류센터에 보관되어 있습니다. 보유 수량은 252개이며, 단가는 109,117원입니다. 공급처는 한세실업 도매이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV012440에 해당하는 품목은 '패딩 점퍼 842'입니다. 카테고리는 의류이며, 현재 대전 중부 물류허브에 보관되어 있습니다. 보유 수량은 152개이며, 단가는 109,206원입니다. 공급처는 한세실업 도매이며, 현재 재고 상태는 '정상'로 파악됩니다."
"재고 ID INV011582에 해당하는 품목은 '패딩 점퍼 545'입니다. 카테고리는 의류이며, 현재 인천 항만 보세창고에 보관되어 있습니다. 보유 수량은 421개이며, 단가는 109,358원입니다. 공급처는 코오롱 패션유통이며, 현재 재고 상태는 '정상'로 파악됩니다."
